Provinsi,Tahun,NEET,P1,P2,Internet,RLS,HLS,HCLE
BENGKULU,2024,20.92,1.98,0.43,2.75,9.4,13.75,0.34
LAMPUNG,2024,22.53,1.64,0.37,2.84,8.8,12.78,0.34
KEP. BANGKA BELITUNG,2024,21.26,0.71,0.18,2.92,8.78,12.49,0.28
KEP. RIAU,2024,14.52,0.67,0.15,3.38,10.65,13.27,0.11
DKI JAKARTA,2024,15.19,0.6,0.12,3.15,11.49,13.51,0.12
JAWA BARAT,2024,23.49,1.13,0.27,2.89,9.24,12.8,0.31
JAWA TENGAH,2024,17.93,1.62,0.37,2.78,8.47,12.86,0.33
DI YOGYAKARTA,2024,11.18,1.72,0.4,2.97,10.23,15.7,0.18
JAWA TIMUR,2024,17.02,1.51,0.33,2.67,8.69,13.43,0.33
BANTEN,2024,23.79,0.89,0.2,2.91,9.55,13.1,0.28
BALI,2024,7.26,0.47,0.08,3.03,9.87,13.62,0.13
NUSA TENGGARA BARAT,2024,15.44,2.2,0.53,2.58,8.5,13.98,0.37
NUSA TENGGARA TIMUR,2024,17.02,3.49,0.91,2.77,8.48,13.23,0.43
KALIMANTAN BARAT,2024,21.22,0.87,0.18,2.84,8.28,12.68,0.31
KALIMANTAN TENGAH,2024,21.78,0.73,0.16,2.82,9.17,12.77,0.29
KALIMANTAN SELATAN,2024,18.69,0.53,0.11,2.95,9.02,12.87,0.24
KALIMANTAN TIMUR,2024,19.35,0.71,0.13,3.16,10.22,14.03,0.17
KALIMANTAN UTARA,2024,16.87,0.66,0.14,3.31,9.58,13.21,0.16
SULAWESI UTARA,2024,28.33,1.16,0.3,2.67,10.02,12.97,0.35
SULAWESI TENGAH,2024,20.67,1.91,0.47,2.71,9.28,13.34,0.35
SULAWESI SELATAN,2024,21.65,1.39,0.35,2.98,9.22,13.55,0.28
SULAWESI TENGGARA,2024,19.78,1.95,0.5,3.02,9.74,13.71,0.28
GORONTALO,2024,21.89,2.59,0.68,2.88,8.64,13.17,0.39
SULAWESI BARAT,2024,20.25,1.65,0.37,2.84,8.56,12.89,0.34
MALUKU,2024,29.43,2.84,0.74,3,10.44,14.09,0.36
MALUKU UTARA,2024,27.85,0.87,0.19,2.73,9.7,13.75,0.31
PAPUA BARAT,2024,26.93,4.46,1.38,2.74,9.87,13.17,0.53
PAPUA,2024,27.85,4.33,1.51,2.58,10.7,13.72,0.54
